sample,rawfq,trimfq,H_ath,K_ath
4206_A,10545878,9823025,0.979,0.979
4206_AA,7032226,6458825,0.983,0.967
4206_AB,7408092,6893696,0.978,0.975
4206_AC,8156477,7465924,0.968,0.972
4206_AD,7341415,6789747,0.977,0.972
4206_AE,8578771,7722038,0.98,0.95
4206_AF,8449488,7761783,0.974,0.925
4206_AG,7238886,6656514,0.979,0.979
4206_AH,7284055,6713086,0.979,0.976
4206_AI,7769390,7196848,0.985,0.969
4206_AJ,7266881,6681381,0.977,0.976
4206_AK,7829291,7118148,0.975,0.963
4206_AL,7260684,6734058,0.977,0.972
4206_AM,8485342,7671561,0.98,0.958
4206_AN,10678288,9990486,0.963,0.903
4206_AO,8041687,7428025,0.978,0.978
4206_AP,7228988,6641536,0.978,0.978
4206_AQ,11786477,11119672,0.976,0.929
4206_AR,7623641,7058062,0.975,0.973
4206_AS,7007885,6386895,0.976,0.976
4206_AT,10532397,9772695,0.977,0.973
4206_AU,7447358,6965266,0.984,0.956
4206_AV,9469900,8755258,0.969,0.897
4206_B,7349776,6742490,0.98,0.976
4206_C,7126368,6579298,0.981,0.973
4206_D,10045145,9183211,0.979,0.976
4206_E,8514191,7728495,0.976,0.979
4206_F,7441682,6869019,0.98,0.974
4206_G,8482112,7786383,0.981,0.96
4206_H,7315283,6833868,0.979,0.97
4206_I,7352204,6760403,0.98,0.979
4206_J,7382597,6784569,0.98,0.976
4206_K,9769334,8984428,0.979,0.976
4206_L,7285673,6769844,0.977,0.975
4206_M,9647239,8780060,0.974,0.977
4206_N,7582281,6935833,0.977,0.974
4206_O,7386843,6782673,0.981,0.969
4206_P,7482498,6937942,0.98,0.967
4206_Q,7205748,6622084,0.979,0.976
4206_R,7030789,6462875,0.976,0.976
4206_S,7182892,6609494,0.98,0.975
4206_T,8091139,7187791,0.972,0.973
4206_U,7849039,7159694,0.979,0.975
4206_V,9856067,9098018,0.979,0.973
4206_W,10167014,9398733,0.982,0.97
4206_X,7338569,6779606,0.982,0.957
4206_Y,7901756,7293296,0.974,0.974
4206_Z,7517436,6833111,0.973,0.973
