ID,Gene.x,Gene_Symbol,cl,Col0_FeCl3_Live_vs_Col0_FeCl3_HK_log2FoldChange
AT2G28160.1,FIT,FIT1,7,-0.28427248687203144
AT2G28160.2,FIT,FIT1,3,-0.04594740675464036
AT5G01600.1,FER1,FER1,1,0.7352484680144222
AT3G47640.2,BHLH47,PYE,7,-0.7664265881472262
AT3G47640.3,BHLH47,PYE,2,13.543218033225733
AT3G47640.1,BHLH47,PYE,7,-0.3446197195635061
AT3G18290.1,BTS,BTS,7,-0.9009988678608866
AT2G41240.1,BHLH100,BHLH100,7,-2.4859335629637536
AT2G41240.2,BHLH100,BHLH100,7,-4.492341511731334
AT5G04150.1,BHLH101,BHLH101,7,-2.4507461691552637
AT5G04150.2,BHLH101,BHLH101,7,-2.8002166062203204
AT5G54680.1,ILR3,bHLH105,7,-0.3086706383532613
AT3G56970.1,ORG2,bHLH038_ORG2,7,-2.3196216107835994
AT3G56980.1,ORG3,BHLH039_ORG3,7,-2.3528569367835583
AT1G32640.1,MYC2,MYC2,6,0.4374053625634191
AT3G12820.1,AtMYB10,MYB10,7,-0.7107463603699008
AT3G12820.2,AtMYB10,MYB10,7,0.2862619186846184
AT1G56160.1,ATMYB72,MYB72,7,-2.166557504796789
AT3G13610.1,F6'H1,F6'H1,3,-0.6103575899078091
AT3G12900.1,NA,S8H,7,-1.0908625351641763
AT4G31940.1,CYP82C4,CYP82C4,10,-0.018073664143075464
AT3G53480.1,ABCG37,PDR9,7,-1.2077818219807124
AT5G36890.2,BGLU42,BGLU42,7,-1.6390608744333184
AT5G36890.1,BGLU42,BGLU42,7,-1.615643341603697
AT4G19690.2,IRT1,IRT1,7,-1.2676298142828442
AT4G19690.1,IRT1,IRT1,7,-1.1752494276410335
AT1G01580.2,FRO2,FRO2,7,-0.8623315402865607
AT1G01580.1,FRO2,FRO2,7,-0.8257304108193115
AT4G30190.1,HA2,AHA2,9,-0.3782874126411158
AT4G30190.2,HA2,AHA2,5,-0.654187924460934
AT2G18960.2,AHA1,AHA1,6,0.9417071107191868
AT2G18960.1,AHA1,AHA1,6,0.13298660258968698
AT2G18960.3,AHA1,AHA1,6,0.5664165641566665
AT5G57350.1,AHA3,AHA3,2,-0.5568662143758409
AT5G57350.2,AHA3,AHA3,2,0.26578246175821013
AT5G57350.4,AHA3,AHA3,7,-0.3044992112912977
AT1G55290.1,F6'H2,F6'H2,1,0.40823164976403864
